age,marital,housing,loan,duration,campaign,pdays,previous,poutcome,y
49,married,no,no,227,4,999,0,nonexistent,no
37,married,no,no,202,2,999,1,failure,no
78,married,no,no,1148,1,999,0,nonexistent,yes
36,married,yes,no,120,2,999,0,nonexistent,no
59,divorced,no,no,368,2,999,0,nonexistent,no
29,single,no,no,256,2,999,0,nonexistent,no
26,single,no,no,449,1,999,0,nonexistent,yes
30,married,yes,no,126,2,999,0,nonexistent,no
50,married,no,no,574,1,999,0,nonexistent,no
33,single,yes,no,498,5,999,0,nonexistent,no
44,divorced,yes,no,158,5,999,0,nonexistent,no
32,married,yes,no,93,5,999,0,nonexistent,no
26,single,yes,no,71,1,999,0,nonexistent,no
43,married,no,yes,203,1,999,0,nonexistent,no
56,married,no,no,369,1,999,0,nonexistent,no
40,married,yes,no,954,1,999,0,nonexistent,yes
32,divorced,yes,no,105,1,999,0,nonexistent,no
47,single,no,no,148,5,999,0,nonexistent,no
50,single,yes,no,98,9,999,0,nonexistent,no
34,single,no,yes,288,2,3,1,success,yes
46,married,no,no,177,1,999,0,nonexistent,no
39,married,no,no,155,1,999,0,nonexistent,no
41,divorced,no,no,141,1,999,0,nonexistent,no
30,single,yes,no,144,3,999,0,nonexistent,no
55,divorced,no,no,212,3,6,3,success,yes
33,single,yes,no,146,1,999,1,failure,no
46,married,no,no,325,2,999,0,nonexistent,no
38,divorced,yes,yes,291,1,999,0,nonexistent,no
36,divorced,yes,yes,103,1,999,0,nonexistent,no
30,single,yes,no,121,1,999,0,nonexistent,no
34,single,no,no,236,7,999,0,nonexistent,no
63,married,no,no,163,1,999,0,nonexistent,no
46,single,yes,no,1166,3,999,1,failure,no
44,divorced,yes,yes,134,1,999,1,failure,no
55,married,yes,yes,89,1,999,0,nonexistent,no
32,single,no,no,800,5,999,0,nonexistent,no
34,married,no,no,266,1,999,0,nonexistent,no
33,married,no,no,367,5,999,0,nonexistent,no
34,married,yes,no,70,1,999,1,failure,no
23,married,no,no,297,4,999,0,nonexistent,no
39,married,no,no,138,1,999,0,nonexistent,no
30,married,no,no,282,2,999,0,nonexistent,no
41,divorced,no,no,774,2,999,1,failure,yes
55,married,yes,no,60,4,999,0,nonexistent,no
30,married,no,no,75,1,999,0,nonexistent,no
48,divorced,no,yes,88,4,999,0,nonexistent,no
36,single,yes,no,474,1,999,0,nonexistent,yes
46,married,yes,yes,162,1,999,1,failure,no
48,single,no,no,223,2,999,0,nonexistent,no
36,married,yes,no,112,4,999,0,nonexistent,no
53,married,yes,no,232,1,999,0,nonexistent,no
56,married,yes,yes,71,4,999,0,nonexistent,no
48,married,unknown,unknown,642,3,999,0,nonexistent,no
35,married,no,no,211,1,999,1,failure,no
50,married,yes,no,293,4,999,0,nonexistent,no
32,single,yes,yes,230,1,999,1,failure,no
37,single,no,no,182,2,999,0,nonexistent,no
56,divorced,no,no,154,1,999,0,nonexistent,no
35,single,yes,no,120,6,999,0,nonexistent,no
51,married,yes,no,440,2,999,0,nonexistent,yes
51,married,no,no,297,4,999,0,nonexistent,yes
44,divorced,yes,no,172,2,999,0,nonexistent,no
36,married,yes,no,121,2,999,0,nonexistent,no
36,married,no,no,616,2,999,0,nonexistent,no
47,single,no,no,310,3,999,0,nonexistent,no
30,single,yes,no,126,1,999,0,nonexistent,no
32,married,no,no,46,4,999,0,nonexistent,no
39,married,yes,no,197,4,999,0,nonexistent,no
71,married,no,no,313,1,999,0,nonexistent,no
34,single,no,no,347,1,999,0,nonexistent,no
32,single,unknown,unknown,49,1,999,0,nonexistent,no
58,married,no,no,226,1,999,0,nonexistent,no
21,single,no,no,219,1,999,0,nonexistent,no
39,married,yes,no,8,6,999,0,nonexistent,no
39,married,no,yes,173,7,999,0,nonexistent,no
39,married,yes,no,84,1,999,0,nonexistent,no
45,married,no,no,107,2,999,0,nonexistent,no
40,single,no,no,371,2,999,0,nonexistent,no
49,married,no,no,15,13,999,0,nonexistent,no
48,single,yes,yes,115,2,999,0,nonexistent,no
25,single,no,no,268,3,999,0,nonexistent,no
49,divorced,yes,no,284,1,999,0,nonexistent,no
33,single,no,no,130,3,999,0,nonexistent,no
35,single,no,no,61,2,999,0,nonexistent,no
33,married,no,no,611,2,999,0,nonexistent,no
36,married,no,no,152,2,999,0,nonexistent,no
49,single,no,no,363,5,999,0,nonexistent,no
30,married,no,no,67,1,999,1,failure,no
77,married,unknown,unknown,218,2,3,1,success,yes
34,married,yes,no,247,1,999,0,nonexistent,no
48,divorced,no,no,33,6,999,0,nonexistent,no
44,married,no,yes,73,5,999,0,nonexistent,no
50,married,no,no,189,1,999,0,nonexistent,no
49,married,no,no,134,1,999,0,nonexistent,no
28,single,no,no,489,5,999,0,nonexistent,yes
50,divorced,no,no,878,3,999,0,nonexistent,no
40,single,yes,no,154,1,999,1,failure,no
48,married,no,no,18,8,999,0,nonexistent,no
32,married,yes,yes,50,6,999,0,nonexistent,no
29,married,no,no,255,1,999,0,nonexistent,no
29,single,yes,no,26,1,999,0,nonexistent,no
55,divorced,no,no,110,2,999,0,nonexistent,no
45,married,yes,no,56,2,999,0,nonexistent,no
52,divorced,yes,no,56,8,999,0,nonexistent,no
32,single,yes,no,75,4,999,0,nonexistent,no
38,married,yes,no,153,2,999,0,nonexistent,no
33,single,yes,no,233,1,999,0,nonexistent,yes
29,single,yes,no,94,4,999,0,nonexistent,no
37,married,yes,no,198,2,999,0,nonexistent,no
80,married,yes,no,156,1,999,0,nonexistent,yes
57,married,yes,no,109,1,999,0,nonexistent,no
37,divorced,yes,no,604,4,999,0,nonexistent,yes
40,married,no,yes,84,3,999,0,nonexistent,no
43,divorced,yes,yes,483,7,999,0,nonexistent,no
22,single,yes,no,16,1,999,0,nonexistent,no
41,married,yes,no,46,1,999,0,nonexistent,no
35,single,yes,no,153,1,999,0,nonexistent,no
37,married,no,no,179,2,999,0,nonexistent,no
44,divorced,yes,no,245,3,999,0,nonexistent,no
32,single,no,no,234,4,999,0,nonexistent,no
60,married,no,no,332,3,999,0,nonexistent,no
36,married,yes,no,131,1,999,0,nonexistent,no
51,divorced,unknown,unknown,160,2,999,0,nonexistent,no
36,married,no,no,386,3,999,0,nonexistent,no
46,married,yes,no,201,2,999,0,nonexistent,no
30,single,no,no,244,3,999,0,nonexistent,no
33,married,no,no,369,3,999,0,nonexistent,yes
36,married,yes,yes,264,1,10,1,success,no
27,single,no,no,48,2,999,1,failure,no
37,married,yes,yes,73,3,999,0,nonexistent,no
50,married,yes,yes,1326,6,999,1,failure,no
37,married,yes,no,130,1,999,0,nonexistent,no
24,single,yes,no,170,1,999,0,nonexistent,no
31,married,no,no,91,2,999,0,nonexistent,no
30,single,yes,no,29,8,999,1,failure,no
33,married,no,no,307,1,999,0,nonexistent,no
49,married,yes,no,260,1,999,0,nonexistent,no
49,married,yes,no,170,2,999,0,nonexistent,no
31,single,no,no,191,1,999,0,nonexistent,no
30,married,no,no,154,2,999,0,nonexistent,no
29,married,yes,no,404,1,999,0,nonexistent,no
41,married,yes,yes,264,1,999,0,nonexistent,no
40,married,no,no,23,12,999,0,nonexistent,no
41,divorced,yes,no,122,1,999,0,nonexistent,no
42,married,no,no,173,2,999,0,nonexistent,no
37,married,no,no,115,4,999,0,nonexistent,no
34,married,yes,no,407,3,8,3,failure,yes
51,single,yes,no,48,1,999,0,nonexistent,no
39,married,yes,no,61,2,999,0,nonexistent,no
33,divorced,no,no,207,1,999,0,nonexistent,no
39,divorced,no,no,281,1,999,0,nonexistent,no
27,single,yes,no,244,2,999,0,nonexistent,no
36,single,no,no,310,5,999,0,nonexistent,no
43,married,yes,yes,1487,1,999,0,nonexistent,no
42,married,no,yes,95,2,999,0,nonexistent,no
35,married,no,no,375,1,999,0,nonexistent,yes
28,single,yes,no,300,1,999,0,nonexistent,yes
47,divorced,no,yes,322,1,999,0,nonexistent,no
55,single,no,no,142,1,999,0,nonexistent,no
34,married,no,no,245,5,999,0,nonexistent,no
34,married,yes,no,87,1,999,0,nonexistent,no
44,married,no,no,136,10,999,0,nonexistent,no
39,married,no,no,218,2,999,0,nonexistent,no
49,married,no,no,249,2,999,0,nonexistent,no
36,single,no,no,90,2,999,0,nonexistent,no
37,married,no,yes,179,7,999,0,nonexistent,no
37,married,yes,no,356,1,999,0,nonexistent,no
40,single,yes,no,635,3,999,0,nonexistent,no
59,married,no,no,268,1,999,1,failure,no
49,married,yes,no,21,3,999,0,nonexistent,no
53,single,yes,no,304,2,3,1,success,yes
57,married,no,no,171,3,999,0,nonexistent,no
43,married,yes,no,261,3,999,0,nonexistent,no
54,married,no,no,1855,1,999,0,nonexistent,yes
51,divorced,yes,yes,334,2,6,4,failure,yes
35,divorced,yes,no,123,1,999,0,nonexistent,no
53,married,no,no,120,1,999,0,nonexistent,no
53,divorced,yes,no,68,1,999,0,nonexistent,no
34,divorced,yes,no,332,3,999,1,failure,yes
50,divorced,yes,no,763,4,999,0,nonexistent,no
39,married,no,no,144,10,999,0,nonexistent,no
27,single,yes,no,41,1,999,0,nonexistent,no
27,single,yes,no,137,2,4,2,success,no
44,single,yes,no,106,1,999,0,nonexistent,no
29,married,no,no,157,2,999,0,nonexistent,no
42,married,yes,no,72,2,999,0,nonexistent,no
31,single,yes,no,596,1,999,1,failure,no
29,married,no,no,263,2,999,0,nonexistent,no
60,married,yes,no,576,1,999,0,nonexistent,no
28,single,no,yes,315,1,999,0,nonexistent,yes
28,married,yes,no,390,1,999,0,nonexistent,yes
40,married,no,no,246,4,999,1,failure,no
35,married,no,no,15,19,999,0,nonexistent,no
36,single,no,no,254,2,999,0,nonexistent,no
36,married,unknown,unknown,190,1,999,0,nonexistent,no
49,married,yes,yes,263,1,999,0,nonexistent,no
47,married,no,yes,139,2,999,0,nonexistent,no
29,married,no,yes,220,3,999,0,nonexistent,no
35,divorced,no,yes,192,6,999,0,nonexistent,no
33,married,no,no,110,4,999,0,nonexistent,no
28,single,yes,no,318,1,999,0,nonexistent,no
44,married,no,no,754,1,999,0,nonexistent,no
34,single,no,no,257,2,999,0,nonexistent,no
48,divorced,no,no,66,2,999,0,nonexistent,no
38,married,no,no,436,1,999,0,nonexistent,no
39,married,no,no,297,1,999,0,nonexistent,no
35,single,no,no,12,5,999,0,nonexistent,no
26,single,yes,no,200,2,999,0,nonexistent,no
48,married,yes,yes,64,1,999,0,nonexistent,no
41,married,yes,yes,190,8,999,0,nonexistent,no
37,married,no,no,635,2,999,0,nonexistent,no
38,single,yes,no,267,1,999,0,nonexistent,no
45,married,no,yes,397,1,999,0,nonexistent,no
45,married,yes,no,696,2,999,0,nonexistent,yes
36,single,yes,no,176,1,999,0,nonexistent,no
45,married,yes,yes,825,1,999,0,nonexistent,no
45,divorced,yes,yes,69,9,999,0,nonexistent,no
35,divorced,yes,no,88,1,999,1,failure,no
40,married,no,no,1238,2,999,0,nonexistent,no
38,married,no,no,195,1,999,0,nonexistent,no
39,married,yes,no,189,1,999,0,nonexistent,no
52,married,yes,no,208,1,999,0,nonexistent,no
37,married,no,no,277,1,9,1,success,no
33,single,yes,no,61,2,6,2,failure,no
33,single,yes,no,382,2,999,0,nonexistent,no
49,married,yes,no,282,1,999,0,nonexistent,no
38,married,yes,no,6,5,999,1,failure,no
34,married,yes,no,286,9,999,0,nonexistent,no
38,married,yes,no,276,1,999,1,failure,no
56,married,unknown,unknown,141,1,999,0,nonexistent,no
30,married,no,no,417,1,3,1,success,yes
24,single,yes,no,413,1,999,0,nonexistent,yes
36,married,yes,no,322,2,999,0,nonexistent,no
40,married,no,no,59,1,999,0,nonexistent,no
29,married,no,yes,89,2,999,0,nonexistent,no
29,married,yes,no,166,1,999,0,nonexistent,no
46,married,yes,no,9,1,999,0,nonexistent,no
51,married,no,yes,222,1,999,0,nonexistent,no
27,single,yes,no,306,2,999,0,nonexistent,no
58,married,yes,no,504,1,999,0,nonexistent,no
29,single,yes,no,101,1,999,0,nonexistent,no
43,divorced,no,no,154,2,999,0,nonexistent,no
34,divorced,yes,no,104,3,999,0,nonexistent,no
27,single,no,no,171,7,999,0,nonexistent,no
53,married,yes,no,186,1,999,0,nonexistent,no
44,single,yes,no,25,8,999,0,nonexistent,no
30,married,yes,yes,74,1,999,0,nonexistent,no
32,single,yes,no,206,1,999,0,nonexistent,no
30,single,no,no,638,4,999,0,nonexistent,yes
46,divorced,yes,no,51,1,999,0,nonexistent,no
39,divorced,no,no,186,1,999,0,nonexistent,no
28,divorced,yes,no,174,1,999,0,nonexistent,no
34,unknown,yes,no,243,1,999,0,nonexistent,no
50,married,no,no,1130,3,999,0,nonexistent,yes
59,married,yes,no,386,1,999,0,nonexistent,no
27,single,yes,no,193,1,999,0,nonexistent,no
32,single,no,no,52,5,999,0,nonexistent,no
29,single,no,no,141,2,999,0,nonexistent,no
42,single,yes,no,7,5,999,2,failure,no
25,single,yes,no,300,3,999,2,failure,no
52,married,yes,yes,85,2,999,0,nonexistent,no
47,divorced,yes,no,182,1,999,1,failure,yes
43,married,yes,yes,393,2,999,0,nonexistent,no
36,married,yes,no,232,3,999,0,nonexistent,no
35,single,yes,no,92,2,999,0,nonexistent,no
56,married,no,yes,154,1,999,0,nonexistent,no
55,married,yes,no,303,2,999,0,nonexistent,no
55,single,no,yes,107,2,999,0,nonexistent,no
45,married,yes,no,226,1,999,0,nonexistent,no
30,married,no,no,191,1,999,0,nonexistent,no
30,divorced,yes,no,168,2,999,0,nonexistent,no
58,married,yes,no,441,1,999,0,nonexistent,no
50,married,yes,no,286,1,999,0,nonexistent,no
26,single,yes,no,151,2,999,0,nonexistent,no
33,single,no,no,546,2,999,0,nonexistent,no
34,married,no,no,248,3,999,0,nonexistent,no
34,married,yes,no,12,1,999,1,failure,no
29,single,no,no,354,1,999,0,nonexistent,no
37,single,no,no,288,2,999,0,nonexistent,yes
24,single,yes,no,55,1,999,0,nonexistent,no
81,married,no,no,189,2,4,1,success,no
35,married,no,no,343,2,999,0,nonexistent,no
24,single,no,no,297,1,999,0,nonexistent,no
33,married,yes,no,376,1,999,0,nonexistent,no
32,married,yes,yes,6,6,999,1,failure,no
41,married,no,no,174,1,999,0,nonexistent,no
37,divorced,no,no,80,1,999,0,nonexistent,no
44,married,no,no,181,11,999,0,nonexistent,no
57,married,no,no,115,3,999,0,nonexistent,no
31,unknown,no,no,164,1,999,0,nonexistent,yes
56,married,no,no,79,1,999,0,nonexistent,no
31,single,yes,yes,95,7,999,0,nonexistent,no
43,married,no,no,270,2,9,1,success,yes
55,married,no,no,207,1,999,0,nonexistent,no
34,married,yes,no,69,1,999,0,nonexistent,no
